RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
8461,380024000,1609,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 10 BK 1 GREENLEAF TERRACE,0.237,1615
8462,380025000,1607,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 11 BK 1 GREENLEAF TERRACE,0.248,1624
8463,380026000,1605,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,01,LOT 12 BK 1 GREENLEAF TERRACE,0.228,1639
8464,380027000,1603,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,01,LOT 13 BK 1 GREENLEAF TERRACE,0.219,1650
8465,380028000,1601,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 14 BK 1 GREENLEAF TERRACE,0.199,1667
8466,380029000,1401,WELLFORD ST,,1.0 Residential (Urban),Taxable,R-1,01,LOTS 20-23 BK L RUGBY HILLS,0.637,1652
8467,380030000,1603,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOTS 18 & 19 BK L RUGBY HILLS,0.2838,1643
8468,380031000,1607,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 7&PT LOT BK L RUGBY HILLS,0.279,1629
8469,380033000,1611,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT BK L SEC 1 RUGBY HILLS,0.317,1611
8470,380034000,1615,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 BK L SEC 1 RUGBY HILLS,0.246,1590
8471,380035000,1621,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 BK L SEC 1 RUGBY HILLS,0.325,1567
8472,380036000,1623,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 BK L SEC 1 RUGBY HILLS,0.417,1550
8473,380037000,1631,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 2 BK L SEC 1 RUGBY HILLS,0.33,1544
8474,380038000,1635,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 1 BK L SEC 1 RUGBY HILLS,0.379,1523
8475,380039000,1701,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT B BK L SEC 1 RUGBY HILLS,0.403,1524
8476,380040000,1630,CAMBRIDGE CIR,,1.0 Residential (Urban),Taxable,R-1,,LOT A BK K SEC 1 RUGBY HILLS,0.188,1596
8477,380041000,1622,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT A BK K SEC 1 RUGBY HILLS,0.219,1598
8478,380042000,1620,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT B BK K SEC 1 RUGBY HILLS,0.294,1607
8479,380043000,1618,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 10 BK K SEC 1 RUGBY HILLS,0.294,1621
8480,380044000,1614,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,01,LOT 11 BK K SEC 1 RUGBY HILLS,0.312,1635
